"","PC1","PC2","sample","time"
"1",-97119.2291874141,369780.230240749,"1",1
"2",-184417.349322853,-24160.1264025737,"2",2
"3",385799.58675659,402192.20347978,"3",3
"4",-656727.522162742,-90681.6451624352,"4",4
"5",-559045.850897047,107071.367654816,"5",5
"6",-215263.749195629,226399.033013082,"6",6
"7",-662018.24027214,-87652.8015964981,"7",7
"8",-433802.237660697,-142975.876172478,"8",8
"9",-583786.332242983,5779.12937337999,"9",9
"10",-656837.988954976,-179321.514621364,"10",10
"11",-206745.452236394,177553.603154329,"11",11
"12",-329682.215585093,57620.5188577078,"12",12
"13",-132876.503463445,117650.15689402,"13",13
"14",807301.364806724,-164340.871122521,"14",14
"15",-521636.683945139,-180176.284072078,"15",15
"16",3444686.81025846,-323241.510851992,"16",16
"17",799013.227938314,-54066.1206009389,"17",17
"18",395363.40628489,113584.832221334,"18",18
"19",599358.485041335,207094.921890652,"19",19
"20",1448561.58725857,-90157.3045274652,"20",20
"21",-299423.369409131,-51579.3441565387,"21",21
"22",-1469291.13695202,-280968.081891918,"22",22
"23",-730166.627318982,107223.152301754,"23",23
"24",381861.839249615,-47850.4184706052,"24",24
"25",-449191.346434129,35446.8725074976,"25",25
"26",-827037.047069185,-17387.7350822302,"26",26
"27",-153059.159018449,-160402.361176122,"27",27
"28",-403988.800421924,7587.38834941242,"28",28
"29",-222940.702874281,-358095.449657246,"29",29
"30",1533111.23703016,318074.035626492,"30",30
