"","PC1","PC2","sample","condition","time"
"1",-259454.764640712,-196155.367144437,"pre_1","pre_vaccination",1
"2",-475078.031991419,-190865.859383867,"pre_2","pre_vaccination",2
"3",-530212.061968933,-79431.8417392387,"pre_3","pre_vaccination",3
"4",-1346147.34344874,-87259.3381929137,"pre_4","pre_vaccination",4
"5",-1127022.25060318,-27044.7124885671,"pre_5","pre_vaccination",5
"6",-665503.065206968,-20998.5239840142,"pre_6","pre_vaccination",6
"7",-1356081.25235621,173302.112538781,"pre_7","pre_vaccination",7
"8",-1107354.88329447,93491.1339306801,"pre_8","pre_vaccination",8
"9",-488904.83320595,23759.2408636019,"pre_9","pre_vaccination",9
"10",-2822629.75613715,301073.736780023,"pre_10","pre_vaccination",10
"11",18009.0619195204,161336.634719419,"pre_11","pre_vaccination",11
"12",1329843.95249784,-87439.6393364152,"pre_12","pre_vaccination",12
"13",488900.452535464,44063.5717928586,"pre_13","pre_vaccination",13
"14",556120.014859281,54944.3018199153,"pre_14","pre_vaccination",14
"15",2951811.74828481,8567.53976468342,"pre_15","pre_vaccination",15
"16",1732846.21144815,227964.275092581,"pre_16","pre_vaccination",16
"17",3191781.39296388,30451.271488317,"pre_17","pre_vaccination",17
"18",1731727.13988193,200161.676056329,"pre_18","pre_vaccination",18
"19",1859683.78776565,119280.035570703,"pre_19","pre_vaccination",19
"20",641144.430853556,225234.543369413,"pre_20","pre_vaccination",20
"21",-559017.652049933,-109424.437948071,"post_1","post_vaccination",1
"22",-198123.115101842,-249381.491239273,"post_2","post_vaccination",2
"23",-909400.656360261,354851.407764129,"post_3","post_vaccination",3
"24",-2121565.15610126,343756.759508776,"post_4","post_vaccination",4
"25",-1348701.94680746,363127.763940491,"post_5","post_vaccination",5
"26",-16716.9391989679,391903.493301386,"post_6","post_vaccination",6
"27",-1206332.23318509,348375.055472227,"post_7","post_vaccination",7
"28",-1952351.38306594,-297005.327156691,"post_8","post_vaccination",8
"29",-1053939.61631598,-691019.859520199,"post_9","post_vaccination",9
"30",-1548141.75696923,-354442.500579452,"post_10","post_vaccination",10
"31",-15999.5006535834,-283978.691845598,"post_11","post_vaccination",11
"32",-162075.168646777,390211.86026324,"post_12","post_vaccination",12
"33",-127578.555922926,100345.723044547,"post_13","post_vaccination",13
"34",2594744.80739367,-29984.8735652007,"post_14","post_vaccination",14
"35",1305531.61386141,-289560.653770053,"post_15","post_vaccination",15
"36",-87316.8425789992,-1384446.69433199,"post_16","post_vaccination",16
"37",-209284.03770111,307711.633133903,"post_17","post_vaccination",17
"38",1297281.97038479,17839.170691654,"post_18","post_vaccination",18
"39",1055193.24474051,375853.504522235,"post_19","post_vaccination",19
"40",940312.974122598,-279166.633203907,"post_20","post_vaccination",20
